 Data Alignment: None,,,,,,,,,,,,,,,
 Data Alignment Step: 0,,,,,,,,,,,,,,,
C:\Users\Labuser\Desktop\Laras\20230125_AR2G_1OLD\Experiment_1, 230125_001.frd, 230125_002.frd, 230125_003.frd, 230125_004.frd, 230125_005.frd, 230125_006.frd, 230125_007.frd, 230125_008.frd, 230125_009.frd, 230125_010.frd, 230125_011.frd, 230125_012.frd, 230125_013.frd, 230125_014.frd, 
X Values, A1, B1, C1, D1, E1, F1, G1, A2, B2, C2, D2, E2, F2, G2, 
1700.43,-0.14019589,-0.06112741,-0.10128152,-0.10720304,-0.10370573,-0.07973063,-0.08543422,-0.17736037,-0.17742999,-0.20260064,-0.19540621,-0.20098726,-0.19731301,-0.16659504, 
1700.64,-0.13976981,-0.05856057,-0.09969258,-0.10803969,-0.10146274,-0.08061896,-0.08289728,-0.18137839,-0.18143883,-0.20269133,-0.19064724,-0.20080268,-0.19638258,-0.16917612, 
1700.85,-0.13880022,-0.05610801,-0.09502995,-0.10627855,-0.10288988,-0.07888307,-0.08349407,-0.17939377,-0.18071035,-0.19770801,-0.19375096,-0.20281485,-0.19477707,-0.16766368, 
1701.03,-0.13886803,-0.05506519,-0.09953696,-0.10436288,-0.10458181,-0.07948852,-0.08334494,-0.18268754,-0.1793846,-0.2042584,-0.1924299,-0.19970328,-0.19531868,-0.16668789, 
1701.24,-0.14071997,-0.05612454,-0.10043345,-0.10654929,-0.10114988,-0.08334107,-0.08788272,-0.18162821,-0.17822888,-0.19978532,-0.194978,-0.19843206,-0.19856527,-0.16621345, 
1701.44,-0.14018095,-0.05542397,-0.09880962,-0.1073501,-0.10108399,-0.0820877,-0.08410621,-0.17988846,-0.18306063,-0.20282011,-0.1935557,-0.20721252,-0.1951841,-0.16548096, 
1701.63,-0.13709395,-0.05696179,-0.1041537,-0.10643163,-0.10357865,-0.08016887,-0.0803932,-0.17808412,-0.17991108,-0.20271403,-0.19167857,-0.20063311,-0.19482665,-0.16683809, 
1701.84,-0.13922349,-0.05512523,-0.09687055,-0.10525335,-0.10476375,-0.08005132,-0.08622007,-0.18187205,-0.17858459,-0.20028007,-0.19451214,-0.20087378,-0.19609033,-0.16334841, 
1702.05,-0.13974528,-0.05172577,-0.09727243,-0.10813054,-0.10190282,-0.07672735,-0.08663581,-0.17952047,-0.17914434,-0.20288612,-0.1896161,-0.20245552,-0.1944622,-0.1634734, 
1702.23,-0.1398927,-0.05729305,-0.1014162,-0.10580753,-0.10444887,-0.080176,-0.08183986,-0.18237473,-0.17920643,-0.20591989,-0.19418839,-0.20133932,-0.1979481,-0.16525595, 
1702.44,-0.13707532,-0.05739843,-0.10112524,-0.1080761,-0.10334507,-0.0789777,-0.08131646,-0.17947619,-0.18110554,-0.20454583,-0.18938881,-0.20155367,-0.1989419,-0.1667237, 
1702.64,-0.14200905,-0.051182,-0.09710196,-0.10737734,-0.10463963,-0.078561,-0.0837865,-0.17774564,-0.17956021,-0.2027548,-0.19269142,-0.19973023,-0.19879144,-0.16677642, 
1702.83,-0.13803096,-0.0547667,-0.0992474,-0.10637274,-0.10407974,-0.07622769,-0.07953822,-0.17980933,-0.17948788,-0.20457323,-0.18964314,-0.20194542,-0.19610763,-0.1643756, 
